threshold,asr,fpr,ddr,avg_detection_turn,avg_latency_ms,successful_attacks,false_positives
0.2,0.0,0.6666666666666666,1.0,2.0,5344.948917464722,0,10
0.3,0.0,0.6666666666666666,1.0,2.0,5231.813001577624,0,10
0.4,0.0,0.6,1.0,2.0,5684.6675126950095,0,9
0.5,0.0,0.6,1.0,2.0,6322.25613809368,0,9
0.6,0.1,0.4666666666666667,0.9,2.4444444444444446,16506.59371745987,1,7
0.67,0.0,1.0,0.8,2.875,121.0989396841753,0,15
0.7,0.2,0.26666666666666666,0.8,3.25,25683.43449364202,2,4
0.72,0.2,0.06666666666666667,0.8,3.5,29140.941611112332,2,1
0.73,0.0,1.0,0.8,3.5,0.2715825398881284,0,15
0.75,0.2,0.06666666666666667,0.8,3.625,29869.154587304885,2,1
0.77,0.0,1.0,0.6,3.6666666666666665,0.30304285991449087,0,15
0.78,0.4,0.0,0.5,3.6,37047.743642850524,4,0
0.8,0.5,0.0,0.4,3.5,38234.189850780815,5,0
0.82,0.5,0.0,0.4,3.5,38234.19654285276,5,0
0.83,0.0,1.0,0.4,3.5,0.4367746033018366,0,15
0.85,0.5,0.0,0.4,3.5,39084.64919522383,5,0
0.88,0.4,0.0,0.3,3.6666666666666665,41712.602966659084,4,0
