threshold,asr,fpr,ddr,mitigation_rate,avg_detection_turn,avg_latency_ms,successful_attacks,false_positives
0.2,0.0,0.6666666666666666,1.0,0.7916666666666666,2.0,5316.838533330469,0,10
0.3,0.0,0.6666666666666666,1.0,0.7916666666666666,2.0,5232.195158727289,0,10
0.4,0.0,0.6,1.0,0.7916666666666666,2.0,5685.0195555532655,0,9
0.5,0.0,0.6,1.0,0.7916666666666666,2.0,5685.009379362802,0,9
0.6,0.0,0.5333333333333333,1.0,0.75,2.2,7764.4868555533,0,8
0.7,0.0,0.4666666666666667,1.0,0.625,2.6,12001.764700000203,0,7
0.75,0.0,0.3333333333333333,1.0,0.625,2.6,12980.83955396839,0,5
0.8,0.1,0.26666666666666666,0.9,0.5,3.111111111111111,19508.720942856053,1,4
0.82,0.0,1.0,0.9,0.5,3.111111111111111,119.91389841395652,0,15
0.83,0.1,0.06666666666666667,0.9,0.5,3.111111111111111,21269.642026981826,1,1
0.85,0.0,1.0,0.9,0.5,3.111111111111111,1.1860127001816023,0,15
0.86,0.1,0.0,0.9,0.5,3.111111111111111,21869.210763488674,1,0
0.88,0.1,0.0,0.8,0.4583333333333333,2.875,24093.788836504045,1,0
0.9,0.1,0.0,0.8,0.4375,2.875,25076.449930154842,1,0
0.92,0.0,1.0,0.8,0.3541666666666667,3.5,1.3653793679882906,0,15
0.93,0.2,0.0,0.8,0.3541666666666667,3.5,29580.98941586834,2,0
0.95,0.2,0.0,0.8,0.3333333333333333,3.625,30309.15802539337,2,0
